scene,listener,sii
S06108,L0099,0.391530369484897
S06108,L0070,0.576887799802308
S06108,L0062,0.3215445412574369
S06109,L0085,0.3334520568878807
S06109,L0029,0.44796396478476996
S06109,L0035,0.3789626215219411
S06110,L0063,0.5232164715088673
S06110,L0093,0.4760465645253459
S06110,L0049,0.36350972811506926
S06111,L0002,0.30191629268210957
S06111,L0023,0.30065182301002125
S06111,L0026,0.14693934276181722
S06112,L0045,0.46722460490387335
S06112,L0056,0.43524402631519526
S06112,L0057,0.46718746516216814
S06113,L0062,0.2719984557034778
S06113,L0014,0.2212629485006061
S06113,L0057,0.264993504802984
S06114,L0097,0.5619183506499655
S06114,L0005,0.45980022229075085
S06114,L0008,0.4336486945124555
S06115,L0045,0.6000478329756307
S06115,L0027,0.4728989718373532
S06115,L0026,0.4463338044479404
S06116,L0092,0.3888625483937699
S06116,L0049,0.3916535416479598
S06116,L0061,0.6454695774233141
S06117,L0065,0.4572621501797348
S06117,L0088,0.5473589658625038
S06117,L0022,0.4781506316391891
S06118,L0049,0.3221390072004063
S06118,L0019,0.26917257710072173
S06118,L0077,0.4115368396559901
S06119,L0040,0.29568529196273774
S06119,L0009,0.3319225774754338
S06119,L0053,0.46367118278355035
S06120,L0029,0.495442452995116
S06120,L0083,0.5072357275659963
S06120,L0012,0.4122636225655645
S06121,L0051,0.4655491621425419
S06121,L0066,0.2769500696783198
S06121,L0056,0.5043447884749943
S06122,L0051,0.3955360972836723
S06122,L0068,0.47655361334593177
S06122,L0017,0.4021543404100028
S06123,L0015,0.41324268344793036
S06123,L0089,0.467320348038302
S06123,L0077,0.5295481035050961
S06124,L0076,0.2675573643743855
S06124,L0057,0.4142053357592957
S06124,L0021,0.3020614833366529
S06125,L0077,0.6483046577776288
S06125,L0019,0.48340384499571565
S06125,L0080,0.7017080301907558
S06126,L0069,0.7046171680919556
S06126,L0005,0.5728578002849386
S06126,L0051,0.43601154388934654
S06127,L0056,0.5012885498835864
S06127,L0026,0.5091058405803595
S06127,L0028,0.5003502640090206
S06128,L0098,0.5482701470081279
S06128,L0090,0.5264005757975729
S06128,L0063,0.5893538446084118
S06129,L0099,0.39822260801881887
S06129,L0014,0.3804410672622806
S06129,L0011,0.48581194987645765
S06130,L0013,0.5249096224650727
S06130,L0034,0.319581168844024
S06130,L0038,0.37505815771560314
S06131,L0010,0.1911129887212783
S06131,L0064,0.3379430474358168
S06131,L0002,0.2880995289714254
S06132,L0015,0.3374946041296461
S06132,L0065,0.5873617641905101
S06132,L0089,0.48091913336874004
S06133,L0083,0.22289444575011202
S06133,L0049,0.05714293215794186
S06133,L0072,0.23011928295256381
S06134,L0078,0.14889105622942103
S06134,L0092,0.1085427194659261
S06134,L0036,0.16113489144382137
S06135,L0069,0.730886115482361
S06135,L0013,0.5623600847316891
S06135,L0062,0.45523425881829205
S06136,L0038,0.20594669042424893
S06136,L0044,0.3006326797499028
S06136,L0092,0.2740489462305122
S06137,L0028,0.4668108883280457
S06137,L0070,0.5599138710543125
S06137,L0032,0.5469970050250794
S06138,L0059,0.7124518547709762
S06138,L0019,0.6044515983130073
S06138,L0011,0.5785973464783939
S06139,L0004,0.39773119065915874
S06139,L0084,0.3858247410089039
S06139,L0072,0.4174393589742159
S06140,L0034,0.37451831484450715
S06140,L0021,0.4198099746027247
S06140,L0080,0.5009724093390092
S06141,L0065,0.40142494707903964
S06141,L0042,0.35852043577060455
S06141,L0035,0.37790200260420587
S06142,L0100,0.157914839877746
S06142,L0008,0.18312831269437987
S06142,L0036,0.16026439895737388
S06143,L0097,0.532878715409068
S06143,L0024,0.520460380372389
S06143,L0017,0.4314370337834119
S06144,L0034,0.33427066715348386
S06144,L0073,0.49910740488072985
S06144,L0063,0.5259639637873544
S06145,L0061,0.21871248489698694
S06145,L0086,0.26283080245852863
S06145,L0026,0.2568819413824306
S06146,L0017,0.3749054175355081
S06146,L0094,0.426677962005163
S06146,L0078,0.4958111095313113
S06147,L0024,0.4596735965823792
S06147,L0090,0.45051450795517556
S06147,L0066,0.3472517075461213
S06148,L0099,0.3108141080274318
S06148,L0069,0.5001860880526784
S06148,L0083,0.37937634670303544
S06149,L0080,0.5164670595928611
S06149,L0055,0.48574820549180825
S06149,L0099,0.3907688448489971
S06150,L0034,0.42386537826975734
S06150,L0086,0.5098071822273132
S06150,L0096,0.44437544646936844
S06151,L0038,0.29160117930253165
S06151,L0002,0.28470347786706635
S06151,L0057,0.29747067598294064
S06152,L0054,0.23909025109076792
S06152,L0055,0.21574329575159062
S06152,L0005,0.2643952407494745
S06153,L0084,0.6063821932906663
S06153,L0024,0.42066350320890455
S06153,L0042,0.36130590012950614
S06154,L0095,0.3629233477020805
S06154,L0026,0.3310821478589889
S06154,L0063,0.4745457345260608
S06155,L0092,0.3521265093509828
S06155,L0049,0.2641895211034389
S06155,L0076,0.4813772178814542
S06156,L0011,0.3803736162469388
S06156,L0013,0.38462256896414354
