scene,listener,haspi
S06047,L0085,0.011039342964929592
S06047,L0095,0.01203039010833756
S06048,L0012,0.2529440213663412
S06048,L0004,0.25922531260858744
S06048,L0021,0.19895874560361848
S06049,L0099,0.17377186597699468
S06049,L0032,0.3809835481248689
S06049,L0095,0.13830159958204594
S06050,L0091,0.007485499807080592
S06050,L0021,0.1814573694749281
S06050,L0065,0.07201565288320873
S06051,L0014,0.040002745510711056
S06051,L0062,0.028627790967670732
S06051,L0019,0.029060006411031
S06052,L0005,0.01815669706309511
S06052,L0095,0.018143333449871398
S06052,L0003,0.026620329069991736
S06053,L0032,0.6894657303423257
S06053,L0031,0.7091051065404678
S06053,L0021,0.7851334068948712
S06054,L0077,0.014214213204807199
S06054,L0035,0.014648629599124816
S06054,L0010,0.022686592612144046
S06055,L0003,0.1377792617458787
S06055,L0086,0.029693728545443516
S06055,L0069,0.1253738993282255
S06056,L0097,0.007093204877379117
S06056,L0015,0.01003718444738301
S06056,L0044,0.008511995709511095
S06057,L0011,0.41116280800480787
S06057,L0038,0.2670878464544067
S06057,L0012,0.5633834056443823
S06058,L0100,0.3459400635181522
S06058,L0051,0.18101767990534245
S06058,L0058,0.3249892117987317
S06059,L0070,0.01629394388039885
S06059,L0031,0.03761371906902598
S06059,L0010,0.00788320234075765
S06060,L0081,0.34004507772807147
S06060,L0074,0.42955218390544425
S06060,L0008,0.39527407137422893
S06061,L0094,0.04614622985028652
S06061,L0015,0.01859663055707656
S06061,L0065,0.017787777348464987
S06062,L0034,0.31844715678313434
S06062,L0044,0.2580976387074594
S06062,L0059,0.33082635497201934
S06063,L0076,0.8044245792029944
S06063,L0090,0.5241268406980767
S06063,L0028,0.7223037265221595
S06064,L0035,0.7628221939347077
S06064,L0010,0.42234741532397385
S06064,L0027,0.7453767585150838
S06065,L0027,0.021575583402169262
S06065,L0057,0.017890049567695084
S06065,L0084,0.016313820718772996
S06066,L0042,0.005825878446408684
S06066,L0021,0.006577477043692499
S06066,L0094,0.008427326766629948
S06067,L0071,0.02132279337414656
S06067,L0029,0.03219046464746356
S06067,L0002,0.011515999101726302
S06068,L0076,0.05072294498021342
S06068,L0067,0.06934686657567429
S06068,L0090,0.0814965641445173
S06069,L0082,0.8967734125782877
S06069,L0053,0.9524553019314059
S06069,L0059,0.9461009719046316
S06070,L0064,0.011209304619264598
S06070,L0042,0.018994903253321968
S06070,L0026,0.009471818486105376
S06071,L0089,0.050730118590137284
S06071,L0002,0.06275281962797097
S06071,L0073,0.026482001299194556
S06072,L0013,0.03517091775002886
S06072,L0056,0.01686708271963387
S06072,L0008,0.018463803164772183
S06073,L0086,0.41257123641520616
S06073,L0047,0.5931026177368246
S06073,L0023,0.518509013980869
S06074,L0040,0.09994744506266583
S06074,L0077,0.40059331208124094
S06074,L0059,0.37374793281050267
S06075,L0096,0.0318313225504704
S06075,L0048,0.03963500109419091
S06075,L0059,0.049656894845296506
S06076,L0093,0.12324717017850945
S06076,L0099,0.13779680758240365
S06076,L0097,0.1764504003586531
S06077,L0022,0.14562264581472856
S06077,L0053,0.16418563193693106
S06077,L0064,0.07985668008824416
S06078,L0068,0.022925426008741135
S06078,L0013,0.020182296618220432
S06078,L0001,0.022542800684307855
S06079,L0094,0.48117348500303847
S06079,L0032,0.4501089530295687
S06079,L0056,0.38193088271409176
S06080,L0027,0.2611092788826874
S06080,L0040,0.30003326641513367
S06080,L0038,0.1941990570811622
S06081,L0099,0.04814429198324881
S06081,L0072,0.06542018027087741
S06081,L0063,0.05411039552569331
S06082,L0090,0.07977749289378679
S06082,L0068,0.12244317798411804
S06082,L0005,0.1524348275464274
S06083,L0066,0.31627683877551704
S06083,L0090,0.188228643251705
S06083,L0068,0.2815931678424022
S06084,L0008,0.01487559291865752
S06084,L0028,0.022495884811246463
S06084,L0072,0.011839972231446014
S06085,L0011,0.0728615664791413
S06085,L0044,0.03692346559087799
S06085,L0027,0.08499262173288422
S06086,L0072,0.03584830113433629
S06086,L0084,0.06088144618258736
S06086,L0078,0.19131573790489043
S06087,L0089,0.04226952359481979
S06087,L0095,0.04572212056536071
S06087,L0001,0.053197272173414446
S06088,L0005,0.22647715030552962
S06088,L0080,0.285065710305359
S06088,L0055,0.30347398389414904
S06089,L0053,0.011575548731863157
S06089,L0074,0.017828863742595905
S06089,L0009,0.014025136152319397
S06090,L0068,0.011972015642859244
S06090,L0032,0.012593260383506135
S06090,L0088,0.012056924493750912
S06091,L0099,0.007050259457908537
S06091,L0013,0.006193957559121398
S06091,L0022,0.008150736613088565
S06092,L0002,0.5259051185341608
S06092,L0066,0.43640158534219814
S06092,L0068,0.45288622629108344
S06093,L0054,0.21926320562458518
S06093,L0001,0.024926142444711377
S06093,L0036,0.018992589450941993
S06094,L0002,0.40067014711296656
S06094,L0001,0.4154295590870975
S06094,L0084,0.3779935939200829
S06095,L0096,0.6945730763549272
S06095,L0015,0.7707032231051479
S06095,L0032,0.7083043913553163
S06096,L0021,0.7198292362495746
S06096,L0095,0.6646813687086665
S06096,L0034,0.60886690151523
S06097,L0051,0.31723449107385415
S06097,L0047,0.7832505410982596
S06097,L0031,0.686471123059333
S06098,L0015,0.03087682412393545
S06098,L0076,0.024610163157406693
S06098,L0065,0.022606104395195736
S06099,L0098,0.2072149676804629
S06099,L0013,0.30384867586251607
S06099,L0003,0.12872741674539734
S06100,L0047,0.28876680483015926
S06100,L0072,0.22535990902118833
S06100,L0019,0.17830267612499454
S06101,L0042,0.6407104429021852
S06101,L0023,0.5674119698683804
S06101,L0083,0.6410884673923712
S06102,L0100,0.08210651622583137
S06102,L0058,0.0403961304567079
S06102,L0019,0.04385863724717148
S06103,L0026,0.010391915606755934
S06103,L0047,0.008550976965442535
S06103,L0003,0.011503153436814252
S06104,L0008,0.026772853172514197
S06104,L0035,0.012398651361380809
S06104,L0044,0.007282627244702632
S06105,L0089,0.012058250647510092
S06105,L0054,0.008753768796974743
S06105,L0061,0.007128886675829781
S06106,L0090,0.8581852134563835
S06106,L0008,0.9562404191846748
S06106,L0095,0.7068880405293769
S06107,L0080,0.048962378338479925
S06107,L0100,0.052353317011164635
S06107,L0073,0.03874823217619566
S06108,L0099,0.008782608185841857
S06108,L0070,0.01124132940513696
S06108,L0062,0.010732033972766838
S06109,L0085,0.034903825946209555
S06109,L0029,0.45616311437579116
S06109,L0035,0.5869909422071482
S06110,L0063,0.08140106095508327
S06110,L0093,0.11688371961116516
S06110,L0049,0.014542860281102299
S06111,L0002,0.474354764119148
S06111,L0023,0.3711952131199445
S06111,L0026,0.30434834802926675
S06112,L0045,0.2960420881711922
S06112,L0056,0.31271109393792723
S06112,L0057,0.3212800744229605
S06113,L0062,0.00801936536647317
S06113,L0014,0.008954391975202735
S06113,L0057,0.011024356006080387
S06114,L0097,0.018033736618651607
S06114,L0005,0.01827014244285185
S06114,L0008,0.011825509653285797
S06115,L0045,0.20230843733866577
S06115,L0027,0.4145138424719855
S06115,L0026,0.3405240024019135
S06116,L0092,0.5887399492395338
S06116,L0049,0.4773664215392461
S06116,L0061,0.7893375300210743
S06117,L0065,0.10124723114800656
S06117,L0088,0.04060767733722696
S06117,L0022,0.03626489683408733
S06118,L0049,0.06505285934869037
S06118,L0019,0.020816628672071822
S06118,L0077,0.04896194431059522
S06119,L0040,0.6162958935628159
S06119,L0009,0.6141135533657084
S06119,L0053,0.7251826868674509
S06120,L0029,0.10379718750962205
S06120,L0083,0.17069219382596426
S06120,L0012,0.2699249128458886
S06121,L0051,0.005311667807082515
S06121,L0066,0.006523696279499985
S06121,L0056,0.007248019328759115
S06122,L0051,0.11603483104296099
S06122,L0068,0.43948073874539656
S06122,L0017,0.5742195913140788
S06123,L0015,0.3694380855202401
S06123,L0089,0.33723473416722577
S06123,L0077,0.38768550608670427
S06124,L0076,0.9182853794955116
S06124,L0057,0.7648030176652444
S06124,L0021,0.7888199903120213
S06125,L0077,0.4580057833498999
S06125,L0019,0.4688354760227885
S06125,L0080,0.4305568723816366
S06126,L0069,0.2014443843959498
S06126,L0005,0.23668156085661815
S06126,L0051,0.21554065386049068
S06127,L0056,0.022218385191130223
S06127,L0026,0.018609999332400696
S06127,L0028,0.023558736556269787
S06128,L0098,0.1931822742861662
S06128,L0090,0.3558233842122638
S06128,L0063,0.39050943644810576
S06129,L0099,0.03634379306888667
S06129,L0014,0.04618423577266999
S06129,L0011,0.028058545874088212
S06130,L0013,0.14072717652083266
S06130,L0034,0.09480387423504086
S06130,L0038,0.19605422341982287
S06131,L0010,0.04045907533492082
