scene,listener,haspi
S06125,L0080,0.5363114759699594
S06126,L0069,0.15373175968777744
S06126,L0005,0.06503025154171474
S06126,L0051,0.019596863877060857
S06127,L0056,0.02256883318417714
S06127,L0026,0.015277768086272318
S06127,L0028,0.027300940706823252
S06128,L0098,0.01778200872989309
S06128,L0090,0.04400709717746032
S06128,L0063,0.12966594169466916
S06129,L0099,0.014858603428021939
S06129,L0014,0.025496863212660734
S06129,L0011,0.019448987341443427
S06130,L0013,0.07151420024158371
S06130,L0034,0.06267960697479415
S06130,L0038,0.07590079800236421
S06131,L0010,0.015247135469151811
S06131,L0064,0.017138202623966085
S06131,L0002,0.011578818313543756
S06132,L0015,0.36032760647904555
S06132,L0065,0.5768008249869021
S06132,L0089,0.04595490532849066
S06133,L0083,0.420310750839413
S06133,L0049,0.3373106351052748
S06133,L0072,0.1149716134200699
S06134,L0078,0.20172390287105468
S06134,L0092,0.04909272769394786
S06134,L0036,0.03050085514992615
S06135,L0069,0.8094052019699075
S06135,L0013,0.7052596768997724
S06135,L0062,0.35591324775795463
S06136,L0038,0.015966536200596185
S06136,L0044,0.1207259422009046
S06136,L0092,0.04723440846891128
S06137,L0028,0.6085261722646264
S06137,L0070,0.4230939006739133
S06137,L0032,0.593741459978226
S06138,L0059,0.016056149434581373
S06138,L0019,0.006273348009822519
S06138,L0011,0.0101470155726399
S06139,L0004,0.016941584176632704
S06139,L0084,0.01492269934691033
S06139,L0072,0.014778938085457808
S06140,L0034,0.019162317135548453
S06140,L0021,0.03306406901448125
S06140,L0080,0.0279462934945343
S06141,L0065,0.03284047303761827
S06141,L0042,0.07184845157123919
S06141,L0035,0.027269485052605996
S06142,L0100,0.3255130579740189
S06142,L0008,0.14724253559757838
S06142,L0036,0.15609529133812292
S06143,L0097,0.10456900285732237
S06143,L0024,0.11030224818240189
S06143,L0017,0.19694163639779916
S06144,L0034,0.02793705247430956
S06144,L0073,0.07299931196800738
S06144,L0063,0.028682047713413292
S06145,L0061,0.43420709666141966
S06145,L0086,0.0903789725096835
S06145,L0026,0.018151999150339444
S06146,L0017,0.4406793947302743
S06146,L0094,0.4777630547804471
S06146,L0078,0.545060860859367
S06147,L0024,0.4804249406976173
S06147,L0090,0.500833972642946
S06147,L0066,0.6499068000451447
S06148,L0099,0.005728749601053985
S06148,L0069,0.009116088464445806
S06148,L0083,0.006761747843774041
S06149,L0080,0.007885347741911465
S06149,L0055,0.02291396083487181
S06149,L0099,0.010410810736457957
S06150,L0034,0.005951743675141112
S06150,L0086,0.006079115445163283
S06150,L0096,0.006180758001808728
S06151,L0038,0.0640064543211942
S06151,L0002,0.01459653689777619
S06151,L0057,0.018653672473750403
S06152,L0054,0.1495005770556959
S06152,L0055,0.22299421743831752
S06152,L0005,0.08653506047395061
S06153,L0084,0.17657751195732
S06153,L0024,0.1848816130592009
S06153,L0042,0.10329703806942508
S06154,L0095,0.020345258732532488
S06154,L0026,0.01195916965504758
S06154,L0063,0.21083025273216566
S06155,L0092,0.3102442071786284
S06155,L0049,0.13993984918681113
S06155,L0076,0.4605904386922667
S06156,L0011,0.05399426133034138
S06156,L0013,0.030171184626969987
S06156,L0083,0.039447852776590416
S06157,L0008,0.44920000938070453
S06157,L0011,0.2661918248103158
S06157,L0038,0.12095733035678552
S06158,L0022,0.0409881634245758
S06158,L0008,0.059819370360395585
S06158,L0051,0.016322784204015124
S06159,L0002,0.007169732822804297
S06159,L0072,0.009081163076333254
S06159,L0056,0.007057929808945512
S06160,L0027,0.4252165549960848
S06160,L0026,0.26123523062628534
S06160,L0073,0.3374982296034166
S06161,L0062,0.012957060414751236
S06161,L0081,0.00945818737122327
S06161,L0063,0.04324344092092504
S06162,L0084,0.22088034624995503
S06162,L0081,0.09422265070258437
S06162,L0005,0.022831633703405033
S06163,L0091,0.04605890451363227
S06163,L0014,0.011038511010598934
S06163,L0083,0.022346630666133228
S06164,L0094,0.14882379923796993
S06164,L0012,0.20763983195456176
S06164,L0069,0.18154760671979908
S06165,L0035,0.057035029974288505
S06165,L0049,0.14880567482368448
S06165,L0085,0.11224448540113975
S06166,L0094,0.1325893269380487
S06166,L0068,0.024803815434802975
S06166,L0077,0.04542328721545388
S06167,L0064,0.37299161805820846
S06167,L0095,0.12561517502718428
S06167,L0093,0.5388936341957987
S06168,L0039,0.012654538785996693
S06168,L0003,0.015104970629307471
S06168,L0001,0.010307844959261611
S06169,L0031,0.08648277770058974
S06169,L0051,0.011080876589773392
S06169,L0081,0.039095160941554775
S06170,L0090,0.026337981713698912
S06170,L0042,0.044622094320861054
S06170,L0056,0.02579590332370142
S06171,L0011,0.030021308606016078
S06171,L0080,0.04300745779446676
S06171,L0044,0.022547354367602607
S06172,L0051,0.015258483990287007
S06172,L0067,0.09537492925786176
S06172,L0064,0.19105130047209418
S06173,L0064,0.1025912644758861
S06173,L0010,0.0064027157664090445
S06173,L0027,0.03187559537752179
S06174,L0100,0.21236634168371168
S06174,L0022,0.18218830831249477
S06174,L0040,0.282269761521893
S06175,L0048,0.18428725423556255
S06175,L0056,0.10974434227561379
S06175,L0010,0.008188869395487148
S06176,L0005,0.04316707849040518
S06176,L0077,0.4105377211817526
S06176,L0068,0.42862572500080426
S06177,L0024,0.010221565996045925
S06177,L0078,0.00963433907441236
S06177,L0095,0.006733950577651227
S06178,L0013,0.24089536574986614
S06178,L0026,0.019803880838122394
S06178,L0059,0.33188453911015303
S06179,L0067,0.3254233806326573
S06179,L0005,0.43775091508818553
S06179,L0096,0.28652938134558875
S06180,L0074,0.2696374961122677
S06180,L0064,0.16215317095427062
S06180,L0073,0.07140986130435081
S06181,L0009,0.010188024789553966
S06181,L0015,0.009700449044321416
S06181,L0076,0.008277472302479024
S06182,L0026,0.24468780239771543
S06182,L0003,0.4562015546251457
S06182,L0005,0.5773494874530826
S06183,L0094,0.0304857685451828
S06183,L0097,0.05113696151983329
S06183,L0022,0.02857230084261814
S06184,L0098,0.01916691797281202
S06184,L0055,0.007401659237390597
S06184,L0017,0.01733626813336059
S06185,L0088,0.1665892845500504
S06185,L0058,0.04648408124798827
S06185,L0032,0.05992781512750302
S06186,L0064,0.13873251882472346
S06186,L0078,0.12069448695500033
S06186,L0019,0.03342131985279807
S06187,L0010,0.05459369407416947
S06187,L0096,0.2937125798196185
S06187,L0074,0.46739809512945407
S06188,L0096,0.006166296799913119
S06188,L0098,0.006994104887391168
S06188,L0057,0.007225526290504242
S06189,L0021,0.23556983288797803
S06189,L0097,0.06738716491366278
S06189,L0049,0.23227811344170585
S06190,L0022,0.580658014122355
S06190,L0064,0.5388829109168408
S06190,L0049,0.6532540698087486
S06191,L0021,0.17046791073885265
S06191,L0083,0.4512981020836227
S06191,L0032,0.2813775280668541
S06192,L0005,0.020869274446396878
